user_id,student_id,email,password_hash,is_active,user_created_at,profile_id,name,branch,semester,interests,profile_created_at
0fa1d8cb-6ed9-41c0-9d12-483a32b5a89b,S00001,sanjay.kumar001@college.edu,,True,2026-01-18 06:38:49.214775+00:00,c666cc62-ace1-454f-affb-4e147eccd2c1,Sanjay Kumar,IT,4,,2026-01-18 06:38:49.214775+00:00
d9bed884-e901-4381-8de9-dbcede9abc28,S00002,rohit.nair002@college.edu,,True,2026-01-18 06:38:49.214775+00:00,ce584a37-b8b2-4f66-a678-602e8617e1ce,Rohit Nair,CSE,2,,2026-01-18 06:38:49.214775+00:00
dd239b49-8b8b-402e-9098-95a1b806a695,S00003,divya.das003@college.edu,,True,2026-01-18 06:38:49.214775+00:00,ea619b53-c8c6-4f81-8542-2e8137aeb01d,Divya Das,CSE,1,,2026-01-18 06:38:49.214775+00:00
22fac74b-4f35-444f-be86-ab3a18867abe,S00004,akhil.reddy004@college.edu,,True,2026-01-18 06:38:49.214775+00:00,920ad7e0-8f43-41d2-9d8e-048e22a72219,Akhil Reddy,ECE,1,,2026-01-18 06:38:49.214775+00:00
f40b98ef-9304-4b7c-a039-a3c0ec506819,S00005,sreya.reddy005@college.edu,,True,2026-01-18 06:38:49.214775+00:00,085f9b0f-be72-4872-be46-6521824000bc,Sreya Reddy,AI&ML,4,,2026-01-18 06:38:49.214775+00:00
8715349c-aeaa-4f9f-b6ee-c7f141ae4324,S00006,neha.patel006@college.edu,,True,2026-01-18 06:38:49.214775+00:00,0dab8c6d-a104-41ef-b20d-af2731bda482,Neha Patel,IT,1,,2026-01-18 06:38:49.214775+00:00
ce9eaeed-d4bf-4e02-8a16-91dc510bb81a,S00007,kiran.das007@college.edu,,True,2026-01-18 06:38:49.214775+00:00,399b8cb6-6b14-4b88-9451-f719f199dfb9,Kiran Das,IT,5,,2026-01-18 06:38:49.214775+00:00
56a79678-8a27-4758-8e56-539d38e365c9,S00008,vishnu.reddy008@college.edu,,True,2026-01-18 06:38:49.214775+00:00,1d14c5ff-5792-4861-8e65-48290ae7b5bb,Vishnu Reddy,IT,2,,2026-01-18 06:38:49.214775+00:00
59046d05-8b1b-4fad-b9de-d66a9fb62ad4,S00009,akhil.das009@college.edu,,True,2026-01-18 06:38:49.214775+00:00,a6c0c7c1-bfc9-4ab5-9243-d651ba41972c,Akhil Das,CSE,6,,2026-01-18 06:38:49.214775+00:00
fd877df5-ea0c-43ac-a051-2f3d9ed5dd84,S00010,aishwarya.patel010@college.edu,,True,2026-01-18 06:38:49.214775+00:00,37e98333-5e93-4988-8c1d-5f327808f94f,Aishwarya Patel,IT,1,,2026-01-18 06:38:49.214775+00:00
93666853-289d-40ed-a415-021c16a36438,S00011,neha.gupta011@college.edu,,True,2026-01-18 06:38:49.214775+00:00,02207133-ad96-4286-82e1-7230ce01e82e,Neha Gupta,CSE,7,,2026-01-18 06:38:49.214775+00:00
da6b2869-ad82-4252-845b-3799bcde3db0,S00012,akhil.gupta012@college.edu,,True,2026-01-18 06:38:49.214775+00:00,566534ac-7a9b-4940-b0bb-46c024406e3d,Akhil Gupta,IT,6,,2026-01-18 06:38:49.214775+00:00
4352100b-93e1-4138-b3e8-b46ff6c3a394,S00013,divya.reddy013@college.edu,,True,2026-01-18 06:38:49.214775+00:00,f4214be3-9a53-4944-8bb4-a87dd28dcaf1,Divya Reddy,CSE,1,,2026-01-18 06:38:49.214775+00:00
c747abc1-a592-45e8-b471-f25607c8a7a9,S00014,rohit.sharma014@college.edu,,True,2026-01-18 06:38:49.214775+00:00,bde02c25-4be6-4a98-be5e-6dae3ffde455,Rohit Sharma,CSE,4,,2026-01-18 06:38:49.214775+00:00
6dab13ba-f413-4286-a5d6-0a58f88adaee,S00015,sanjay.das015@college.edu,,True,2026-01-18 06:38:49.214775+00:00,42baefbe-633c-4301-bb28-7cfa3550fa22,Sanjay Das,IT,8,,2026-01-18 06:38:49.214775+00:00
aea4862e-6de0-4aea-ab81-43fd9ab5467b,S00016,aishwarya.nair016@college.edu,,True,2026-01-18 06:38:49.214775+00:00,230e7609-1a99-411b-ac0e-88e389cfa19c,Aishwarya Nair,IT,6,,2026-01-18 06:38:49.214775+00:00
58ffc681-8339-4c2f-be0f-2a6bd281879f,S00017,aditya.sharma017@college.edu,,True,2026-01-18 06:38:49.214775+00:00,a7aeb6e7-099d-427d-8e06-b6d434d7311f,Aditya Sharma,CSE,3,,2026-01-18 06:38:49.214775+00:00
36377435-cf49-4124-afd1-2fc6374136ff,S00018,sreya.reddy018@college.edu,,True,2026-01-18 06:38:49.214775+00:00,173eb03b-a992-4759-a8ef-9452a57d90f5,Sreya Reddy,ECE,8,,2026-01-18 06:38:49.214775+00:00
df396e44-b441-4a61-a0af-c600767cb345,S00019,sneha.sharma019@college.edu,,True,2026-01-18 06:38:49.214775+00:00,9f8115a6-53ec-432e-9190-34021f38544b,Sneha Sharma,ECE,6,,2026-01-18 06:38:49.214775+00:00
19ac0fe4-cbb7-495f-89e8-f06c8c59c00d,S00020,rahul.reddy020@college.edu,,True,2026-01-18 06:38:49.214775+00:00,f310b505-ec94-44e7-9c12-e4e3312cef18,Rahul Reddy,CSE,6,,2026-01-18 06:38:49.214775+00:00
