id,student_id,email,password_hash,is_active,created_at,updated_at
b2e6b12e-2fbd-451b-9e47-1702f76e5fda,S00001,sanjay.kumar001@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
bf142040-ac6e-4d22-9c4b-91d1fa0b7e0b,S00002,rohit.nair002@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
b7cebc86-a4cd-45d3-93f3-d76b962d6070,S00003,divya.das003@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
2c13d2e3-ea22-4e16-93bf-ad587271ba43,S00004,akhil.reddy004@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
e89d2d1b-1ee9-4288-9f4c-ba1225a80a4d,S00005,sreya.reddy005@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
848b1a77-ef8e-4871-827b-43dc370f2d5f,S00006,neha.patel006@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
94b6b177-e5b0-4c37-960e-88d9823152ef,S00007,kiran.das007@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
555d0300-d1a6-4d8e-9d19-cb8b50cf052c,S00008,vishnu.reddy008@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
dcb862d8-bb15-45a4-abdd-92120321183b,S00009,akhil.das009@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
c758352e-e20f-4bc6-91f6-3403cf69b5ba,S00010,aishwarya.patel010@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
c3f022b4-4b5a-4d58-93b7-cca005c3746a,S00011,neha.gupta011@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
fad5bd45-5091-48b5-a0c4-8425b17d02e3,S00012,akhil.gupta012@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
2905dd2b-3d94-4b06-bf47-7839567377ae,S00013,divya.reddy013@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
aee11421-e313-4e83-be88-81482309e698,S00014,rohit.sharma014@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
d4000e9a-63ff-44fd-ab74-7394ae7eb823,S00015,sanjay.das015@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
f85b1abe-7ddc-43b4-8c62-c672f00bb366,S00016,aishwarya.nair016@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
ee1fc5a8-8f23-43ed-9c87-de1e05b43461,S00017,aditya.sharma017@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
21829ffa-0af6-4a3a-a27b-36ba81c5e0aa,S00018,sreya.reddy018@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
45c1011c-b837-4e8f-93a1-6d6c4fcef780,S00019,sneha.sharma019@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
412ed754-a830-4dae-ae12-f75d8a390bc9,S00020,rahul.reddy020@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
19f4d343-dc73-45fc-b5fa-d5f017c990f9,S00021,sneha.sharma021@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
2254a50c-1bf6-4f96-9310-94e39faae1dc,S00022,divya.iyer022@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
8ea7b7c3-5cbc-437b-8d33-64745faa4084,S00023,sneha.pillai023@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
497dc762-6cdc-44f9-a326-e9d69f29dcf1,S00024,vishnu.reddy024@college.edu,,True,2026-01-18 06:54:13.442982+00:00,2026-01-18 06:54:13.442982+00:00
