id,user_id,name,branch,semester,interests,created_at,updated_at
04a0a279-c004-49e3-903a-a4024254f7c7,2d3907d2-c332-4583-a8c6-8e161bbc32bd,Sanjay Kumar,IT,4,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
6073bea4-f7c0-46e8-a58c-a293f5368dc7,12d47a2e-462d-4907-aedd-131197ed66fa,Rohit Nair,CSE,2,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
0c0a707f-1450-445a-9c2e-613c4770e11e,b3b4a8d5-8e79-41eb-9434-f4e2ac9fa7c4,Divya Das,CSE,1,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
42be9538-b2cf-4898-8570-ae191b7fd444,c8cbc4e8-3b14-49b7-a760-bd1ed31aae36,Akhil Reddy,ECE,1,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
36722161-bc5d-4d0a-bae3-614afb23391d,aca04559-f9d3-42c7-bd16-4453da71f020,Sreya Reddy,AI&ML,4,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
064db20e-7d5f-461e-a2ba-277a70a415c2,3dac3ff5-c6b0-43e7-87d2-d130634711d8,Neha Patel,IT,1,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
3fa333ed-1e9a-413a-8c58-62e1e70046e3,48579df6-e2e5-464f-99c8-0d29dfe7845e,Kiran Das,IT,5,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
60aef6f2-9ec7-45a7-b2b9-6d365517ec2f,e3452546-f579-4b56-b65e-84b3ddb1e900,Vishnu Reddy,IT,2,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
baa3e4d5-7215-47cb-bb63-a427929f8327,7832720e-4566-4176-bd7d-cbab7b4fd727,Akhil Das,CSE,6,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
d214cade-cb5a-400c-a5d8-7a591518a749,624ca348-308e-46be-9b09-ebc880c36f3b,Aishwarya Patel,IT,1,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
561e1d68-4163-47aa-a837-62504b01dd61,3a559e84-84f5-4ea0-9414-43767c5b6897,Neha Gupta,CSE,7,,2026-01-18 06:26:44.739415+00:00,2026-01-18 06:26:44.739415+00:00
